Customer ID,Age,Gender,Item Purchased,CategoryPurchase,Amount (INR),Location,Size,Color,SeasonReview,Rating,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
CUST0001,58,Male,Blouse,Outerwear,4262,Hyderabad,L,White,Winter,Very Good,3.3,Yes,Free Shipping,Yes,14,Bank Transfer,Annually
CUST0002,19,Other,Sandals,Accessories,3861,Ahmedabad,11,Green,Winter,Good,4.1,No,Express,Yes,13,PayPal,Weekly
CUST0003,23,Female,Sweater,Outerwear,14135,Kolkata,11,Green,Winter,Poor,3.6,No,Free Shipping,No,40,Bank Transfer,Monthly
CUST0004,54,Male,Shorts,Clothing,1000,Hyderabad,XXL,White,Spring,Excellent,3.1,No,Express,Yes,23,PayPal,Fortnightly
CUST0005,60,Female,Shorts,Clothing,10230,Bangalore,10,Red,Spring,Poor,3.1,Yes,Express,Yes,14,Credit Card,Monthly
CUST0006,43,Female,Sweater,Footwear,9542,Kolkata,XL,Purple,Fall,Poor,2.4,Yes,Standard,No,47,Bank Transfer,Quarterly
CUST0007,55,Female,Shirt,Footwear,2516,Jaipur,9,White,Winter,Excellent,2.5,Yes,Next Day Air,Yes,24,Cash on Delivery,Annually
CUST0008,47,Other,Sneakers,Clothing,11395,Delhi,10,Green,Summer,Excellent,2.9,Yes,Next Day Air,Yes,46,UPI,Monthly
CUST0009,50,Male,Dress,Clothing,14512,Chennai,10,Grey,Spring,Good,3.1,Yes,Store Pickup,Yes,38,PayPal,Quarterly
CUST0010,19,Male,Shirt,Outerwear,4173,Mumbai,XL,Grey,Winter,Excellent,4.2,Yes,Store Pickup,Yes,8,UPI,Quarterly
CUST0011,53,Male,Sneakers,Accessories,3720,Jaipur,XL,Green,Fall,Average,3.3,No,Free Shipping,Yes,14,Credit Card,Monthly
CUST0012,19,Other,Dress,Footwear,9891,Hyderabad,S,White,Winter,Good,2.2,Yes,Express,Yes,32,Debit Card,Monthly
CUST0013,60,Female,Sandals,Footwear,12101,Lucknow,11,Purple,Spring,Poor,4.4,Yes,Free Shipping,Yes,42,Cash on Delivery,Monthly
CUST0014,45,Female,T-shirt,Clothing,11282,Delhi,S,Pink,Summer,Excellent,2.7,Yes,Store Pickup,No,8,Cash on Delivery,Fortnightly
CUST0015,35,Female,Sandals,Clothing,7510,Jaipur,M,Black,Winter,Excellent,4.8,Yes,Standard,No,31,Cash on Delivery,Fortnightly
CUST0016,43,Male,Jeans,Accessories,285,Pune,XXL,Purple,Summer,Poor,4.1,No,Standard,Yes,18,Debit Card,Weekly
CUST0017,55,Other,Dress,Clothing,12504,Kolkata,S,Black,Fall,Very Good,4.8,Yes,Free Shipping,Yes,11,Credit Card,Annually
CUST0018,22,Other,Sandals,Accessories,2214,Lucknow,XL,Grey,Winter,Very Good,2.2,No,Express,Yes,42,UPI,Monthly
CUST0019,33,Female,Jacket,Footwear,11254,Chennai,9,Yellow,Winter,Excellent,3.4,Yes,Free Shipping,Yes,32,PayPal,Fortnightly
CUST0020,40,Male,Sandals,Outerwear,4919,Bangalore,9,Brown,Summer,Very Good,5,Yes,Store Pickup,No,42,Credit Card,Fortnightly
CUST0021,34,Male,Sweater,Footwear,4712,Chennai,11,Red,Summer,Good,4.1,No,Store Pickup,No,16,Credit Card,Weekly
CUST0022,58,Female,Sneakers,Clothing,308,Kolkata,L,Green,Spring,Poor,3.7,No,Store Pickup,Yes,7,Credit Card,Fortnightly
CUST0023,52,Male,Shirt,Footwear,7291,Bangalore,S,Green,Summer,Excellent,4.7,Yes,Standard,Yes,22,Bank Transfer,Quarterly
CUST0024,57,Other,Jeans,Footwear,14415,Bangalore,L,Pink,Winter,Good,4.2,No,Next Day Air,Yes,17,Debit Card,Weekly
CUST0025,42,Male,T-shirt,Footwear,3519,Ahmedabad,7,Green,Spring,Good,2.1,Yes,Next Day Air,No,17,Credit Card,Monthly
CUST0026,40,Other,Dress,Accessories,11383,Jaipur,7,Black,Winter,Average,2.5,No,Free Shipping,Yes,38,Cash on Delivery,Monthly
CUST0027,64,Female,Jacket,Clothing,6561,Lucknow,XL,Green,Winter,Poor,2,Yes,Express,No,4,UPI,Monthly
CUST0028,57,Female,Skirt,Clothing,12042,Chennai,10,Green,Fall,Average,3.2,No,Store Pickup,Yes,12,Cash on Delivery,Quarterly
CUST0029,61,Other,Jeans,Outerwear,6903,Jaipur,S,Green,Summer,Good,3.3,No,Next Day Air,No,28,UPI,Fortnightly
CUST0030,50,Female,Hoodie,Footwear,11044,Delhi,XXL,Brown,Summer,Excellent,4.5,Yes,Express,Yes,12,Debit Card,Weekly
CUST0031,20,Male,T-shirt,Clothing,7711,Pune,11,Red,Fall,Poor,3.2,Yes,Free Shipping,Yes,49,Cash on Delivery,Fortnightly
CUST0032,29,Other,Dress,Accessories,1072,Jaipur,XL,White,Fall,Good,4.4,No,Next Day Air,No,35,Cash on Delivery,Fortnightly
CUST0033,65,Female,T-shirt,Outerwear,12567,Hyderabad,XXL,Brown,Fall,Good,2.8,Yes,Express,Yes,17,PayPal,Monthly
CUST0034,52,Male,Jeans,Footwear,4038,Pune,L,Red,Winter,Poor,3.2,No,Next Day Air,Yes,13,Cash on Delivery,Quarterly
CUST0035,67,Other,Shorts,Clothing,14286,Lucknow,8,Purple,Winter,Average,2.9,No,Next Day Air,Yes,31,Debit Card,Monthly
CUST0036,45,Female,Blouse,Accessories,5757,Pune,L,Purple,Spring,Very Good,3.6,No,Store Pickup,Yes,5,UPI,Quarterly
CUST0037,26,Female,Jeans,Clothing,4512,Pune,7,Red,Fall,Average,3,No,Express,No,16,Credit Card,Quarterly
CUST0038,19,Other,Dress,Clothing,5983,Hyderabad,M,Black,Winter,Good,2.6,Yes,Store Pickup,Yes,15,Debit Card,Quarterly
CUST0039,60,Male,Coat,Footwear,7869,Chennai,7,Blue,Winter,Good,4.9,Yes,Store Pickup,Yes,19,Bank Transfer,Quarterly
